name,slug,category,areaHint,address,latitude,longitude,website,imageUrl,imageSource,imageStatus,realImageUrl,webSignalScore,freshnessStatus
Crônica Creative Workspace,cronica-creative-workspace,coworking_space,Yogyakarta,"Jalan A.M. Sangaji, 62, Yogyakarta",-7.7755597,110.3681831,https://antologi.group/cronica/,https://antologi.group/wp-content/themes/anto/assets/img/Moshi_images/Moshi_red.png,website-og-image,scraped,https://antologi.group/wp-content/themes/anto/assets/img/Moshi_images/Moshi_red.png,14,has-web-signal
Nilu Coffee,nilu-coffee,coffee_shop,,,-7.749111,110.4010151,https://pameo.co/,https://pameo.co/wp-content/uploads/2024/02/Mask-Group-31.jpg,website-og-image,scraped,https://pameo.co/wp-content/uploads/2024/02/Mask-Group-31.jpg,0,osm-only
